,index,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate,annual_rental_income,investment_score
5547,13490,665689170273460142,1-bedroom Suite with bathtub in Silom-Sathorn area,340150263,Bandara,Bang Rak,13.725812644891764,100.53825199691164,Private room,3571.0,1,12,2.31,18,343,12,0.0602739726027397,78561.99999999997,0.4183083796413036
5548,13491,665689222445006854,Two Bedroom Residence with Balcony in Silom 130sqm,340150263,Bandara,Sathon,13.72276,100.5398,Private room,7429.0,1,1,0.18,18,359,1,0.016438356164383605,44574.00000000012,0.388707104105458
5549,13494,679945802486714700,Private room  * Near MRT * 10 mins from Chatuchak,471763352,Nattapong,Bang Sue,13.811793792335404,100.53212262196148,Private room,1507.0,190,5,1.15,1,347,5,0.049315068493150704,27126.000000000015,0.32351149456106876
5550,13499,680112736670949031,Comfort Triple Room @ Red Door Heritage Hotel,461147293,Zuzu,Phra Nakhon,13.7525,100.50158,Private room,1449.0,1,0,0.0,20,319,0,0.126027397260274,66654.00000000001,0.5603982406521189
5551,13500,680113462757980981,"2 min walk to BTS Ratchathewi stn,Walk to MBK,Siam",40262107,Patty,Ratchathewi,13.75211,100.52924,Private room,1157.0,1,6,1.22,39,360,6,0.013698630136986356,5785.000000000023,0.513499304220907
5552,13507,680703961568211992,Bonita House,471807754,Cho Cho,Phra Nakhon,13.76598,100.49742,Private room,800.0,1,0,0.0,1,365,0,0.0,0.0,0.5603982406521189
5553,13511,681636945448478625,Wild Lifestyle  Twin Bed Room in Bangkok near BTS,449012324,Jeff,Vadhana,13.72955,100.58871,Private room,850.0,2,2,0.41,12,87,2,0.7616438356164383,236300.0,0.48270041526150653
5554,13520,682100696547324706,S’Leisure Ramkhamhaeng,31015834,Natha,Bang Kapi,13.76029,100.65074,Private room,1250.0,1,1,0.33,18,365,1,0.0,0.0,0.2709741002626685
5555,13533,682483121892695918,Family 2Bedrooms 1Bath Marshmello House 1 mins BTS,169488254,Sasi,Bang Khen,13.888174269670396,100.60336366295816,Private room,859.0,2,5,2.88,5,347,5,0.049315068493150704,15462.000000000005,0.23894923423382086
5556,13535,682490331473067391,Family 2 Bedrooms 2 Bath near BTS Marshmello House,169488254,Sasi,Bang Khen,13.88817361872104,100.60336902737616,Private room,948.0,2,2,0.47,5,353,2,0.0328767123287671,11375.99999999999,0.23894923423382086
5557,13537,682494771555443165,Private cosy room near BTS Sai Yud,169488254,Sasi,Bang Khen,13.88832724322058,100.60299721736602,Private room,509.0,2,2,0.45,5,359,2,0.016438356164383605,3054.000000000008,0.23894923423382086
5558,13538,682494832557557697,Convenient to Sky train station BTS with cozy room,169488254,Sasi,Bang Khen,13.888194449099624,100.6033680215478,Private room,476.0,2,3,0.81,5,351,3,0.0383561643835616,6663.999999999993,0.23894923423382086
5559,13540,682558414196778910,"Luxury Cozy room 
@BTS Ratchathewi",126126001,Rujaporn,Ratchathewi,13.748440141043837,100.55081502023776,Private room,1290.0,15,0,0.0,1,355,0,0.0273972602739726,12899.999999999998,0.513499304220907
5560,13547,687510932034159959,"POONPLUS  Resident 
soi Ladprao 102",469644895,Ratchaya,Wang Thong Lang,13.78095,100.61306,Private room,450.0,7,0,0.0,1,83,0,0.7726027397260273,126899.99999999999,0.23114768485911438
5561,13549,681108678425775464,City Studio - 24 Sq.m,472052126,Pemikapas,Bang Rak,13.724208,100.5295088,Private room,4185.0,1,0,0.0,2,365,0,0.0,0.0,0.4183083796413036
5562,13555,681417125530359253,Stylish rattan furniture room @Baannai hotel,29897708,Doungsawart,Phaya Thai,13.78027,100.53109,Private room,2250.0,1,2,0.42,4,135,2,0.6301369863013699,517500.0,0.4288147642029191
5563,13556,681428522783642815,1BR in Sukhumvit: 5 Mins Walk to BTS Phrom Phong,8426774,Apichaya,Vadhana,13.729510179563928,100.572447180748,Private room,825.0,1,3,0.67,7,347,3,0.049315068493150704,14850.000000000005,0.48270041526150653
5564,13557,681434865973151779,"Lovely studio room
Provides: 1 bed / 1 bathroom",472135129,Emily,Chatu Chak,13.83429,100.57811,Private room,790.0,30,0,0.0,1,365,0,0.0,0.0,0.3773556276912838
5565,13564,695316185642110926,1 Capsule Queen size bed sleeps two in 10Bed dorm,473936779,Khaosan Social,Phra Nakhon,13.7604382,100.4982753,Shared room,823.0,1,3,0.83,7,363,3,0.005479452054794498,1645.9999999999932,0.5603982406521189
5566,13576,682945933669959583,S’Leisure 15 KM from BKK Airport,31015834,Natha,Bang Kapi,13.76096,100.65197,Private room,1190.0,1,2,0.52,18,365,2,0.0,0.0,0.2709741002626685
5567,13587,683099947854204756,ภคมนเฮ้าส์,472494505,Pakamon,Sai Mai,13.8863035,100.6233129,Private room,600.0,1,0,0.0,1,365,0,0.0,0.0,0.12147281977264678
5568,13601,683649419529112283,"2 Bed 1 Bath near Mrt Rama 9, Jodd Fair",462810029,Wecare,Huai Khwang,13.7558,100.56946,Private room,1500.0,365,3,0.66,1,358,3,0.019178082191780854,10500.000000000018,0.4994247488471142
5569,13609,683905461630216526,lovely private 1-bedroom with full furnitureWifiTV,47162319,YuiYui,Bang Khae,13.70555,100.42123,Private room,850.0,2,0,0.0,1,356,0,0.024657534246575352,7650.000000000003,0.15951948484218992
5570,13613,684341460372594239,60sqm oversized one-bedroom suite,265775228,Pp,Huai Khwang,13.74714,100.58409,Private room,3086.0,3,0,0.0,6,365,0,0.0,0.0,0.4994247488471142
5571,13619,696618909966404461,Jr Air BNB โฮสเทล ดอนเมือง 1,474490825,Jr Jimina,Don Mueang,13.92544,100.59811,Private room,750.0,1,0,0.0,3,363,0,0.005479452054794498,1499.9999999999936,0.3957266024616332
